legislator,party,state,chamber,district,bioguide_id
Sen. Joshua “Josh” Hawley [R-MO],Republican,MO,Senate,NA,H001089
Sen. Katie Britt [R-AL],Republican,AL,Senate,NA,B001319
Sen. Kevin Cramer [R-ND],Republican,ND,Senate,NA,C001096
Sen. Kirsten Gillibrand [D-NY],Democrat,NY,Senate,NA,G000555
Sen. Lindsey Graham [R-SC],Republican,SC,Senate,NA,G000359
Sen. Lisa Blunt Rochester [D-DE],Democrat,DE,Senate,NA,B001303
Sen. Lisa Murkowski [R-AK],Republican,AK,Senate,NA,M001153
Sen. Margaret “Maggie” Hassan [D-NH],Democrat,NH,Senate,NA,H001076
Sen. Maria Cantwell [D-WA],Democrat,WA,Senate,NA,C000127
Sen. Mark Kelly [D-AZ],Democrat,AZ,Senate,NA,K000377
Sen. Mark Warner [D-VA],Democrat,VA,Senate,NA,W000805
Sen. Marsha Blackburn [R-TN],Republican,TN,Senate,NA,B001243
Sen. Martin Heinrich [D-NM],Democrat,NM,Senate,NA,H001046
Sen. Mazie Hirono [D-HI],Democrat,HI,Senate,NA,H001042
Sen. Michael Bennet [D-CO],Democrat,CO,Senate,NA,B001267
Sen. Michael “Mike” Crapo [R-ID],Republican,ID,Senate,NA,C000880
Sen. Mike Lee [R-UT],Republican,UT,Senate,NA,L000577
Sen. Mike Rounds [R-SD],Republican,SD,Senate,NA,R000605
Sen. Mitch McConnell [R-KY],Republican,KY,Senate,NA,M000355
Sen. Patty Murray [D-WA],Democrat,WA,Senate,NA,M001111
Sen. Pete Ricketts [R-NE],Republican,NE,Senate,NA,R000618
Sen. Peter Welch [D-VT],Democrat,VT,Senate,NA,W000800
Sen. Rand Paul [R-KY],Republican,KY,Senate,NA,P000603
Sen. Raphael Warnock [D-GA],Democrat,GA,Senate,NA,W000790
Sen. Richard Blumenthal [D-CT],Democrat,CT,Senate,NA,B001277
Sen. Richard Durbin [D-IL],Democrat,IL,Senate,NA,D000563
Sen. Rick Scott [R-FL],Republican,FL,Senate,NA,S001217
Sen. Roger Marshall [R-KS],Republican,KS,Senate,NA,M001198
Sen. Roger Wicker [R-MS],Republican,MS,Senate,NA,W000437
Sen. Ron Johnson [R-WI],Republican,WI,Senate,NA,J000293
Sen. Ron Wyden [D-OR],Democrat,OR,Senate,NA,W000779
Sen. Ruben Gallego [D-AZ],Democrat,AZ,Senate,NA,G000574
Sen. Sheldon Whitehouse [D-RI],Democrat,RI,Senate,NA,W000802
Sen. Shelley Moore Capito [R-WV],Republican,WV,Senate,NA,C001047
Sen. Steve Daines [R-MT],Republican,MT,Senate,NA,D000618
Sen. Susan Collins [R-ME],Republican,ME,Senate,NA,C001035
Sen. Tammy Baldwin [D-WI],Democrat,WI,Senate,NA,B001230
Sen. Tammy Duckworth [D-IL],Democrat,IL,Senate,NA,D000622
Sen. Ted Budd [R-NC],Republican,NC,Senate,NA,B001305
Sen. Ted Cruz [R-TX],Republican,TX,Senate,NA,C001098
Sen. Thom Tillis [R-NC],Republican,NC,Senate,NA,T000476
Sen. Tim Scott [R-SC],Republican,SC,Senate,NA,S001184
Sen. Tim Sheehy [R-MT],Republican,MT,Senate,NA,S001232
Sen. Timothy “Tim” Kaine [D-VA],Democrat,VA,Senate,NA,K000384
Sen. Tina Smith [D-MN],Democrat,MN,Senate,NA,S001203
Sen. Todd Young [R-IN],Republican,IN,Senate,NA,Y000064
Sen. Tom Cotton [R-AR],Republican,AR,Senate,NA,C001095
Sen. Tommy Tuberville [R-AL],Republican,AL,Senate,NA,T000278
Vice President James David “J.D.” Vance [R],Republican,,House,NA,V000137
