project_id,fiscal_year,member_name,state,district,recipient_name,project_description,amount_requested,award_id,award_amount,award_year,awarding_agency,match_score,match_status
earmark_000054,2022,Jake Auchincloss,,,,Framing the Future: campaign to build a new domestic violence shelter,2000000,,,,,,missing_recipient
earmark_000055,2022,Cynthia Axne,,,,"Ringgold County Child Care Center Re-Design: Programming, Building, and Outdoor Play Project",725366,,,,,,missing_recipient
earmark_000056,2022,Cynthia Axne,,,,Van Meter Public Safety Building Project,500000,,,,,,missing_recipient
earmark_000057,2022,Cynthia Axne,,,,Stanton Childcare Resource Center Expansion Project,1000000,,,,,,missing_recipient
earmark_000058,2022,Cynthia Axne,,,,Creston Intake Project,600000,,,,,,missing_recipient
earmark_000059,2022,Cynthia Axne,,,,NW Saylorville Drive Sewer Extension Segment A,1000000,,,,,,missing_recipient
earmark_000060,2022,Cynthia Axne,,,,Primary Health Care Dental Project,100000,,,,,,missing_recipient
earmark_000061,2022,Cynthia Axne,,,,"Bridge Replacement - PPCB on County Highway R57 over North River, FHWA# 335290",1600000,,,,,,missing_recipient
earmark_000062,2022,Cynthia Axne,,,,The South End Housing Development Program,904336,,,,,,missing_recipient
earmark_000063,2022,Cynthia Axne,,,,Raccoon River East Pedestrian Bridge,1000000,,,,,,missing_recipient
earmark_000064,2022,Cynthia Axne,,,,"North Glycol Storage Tank Repair, Des Moines International Airport",3267000,,,,,,missing_recipient
earmark_000065,2022,Don Bacon,,,,Encompass Omaha: A Hospital-based Violence Intervention Program,526651,,,,,,missing_recipient
earmark_000066,2022,Don Bacon,,,,Sarpy County Regional Wastewater System - Phase 1A: Springfield Creek Interceptor Sewer Project.,12440000,,,,,,missing_recipient
earmark_000067,2022,Don Bacon,,,,Gretna Crossing Park,5700000,,,,,,missing_recipient
earmark_000068,2022,Don Bacon,,,,The North 24th Street Streetscape Improvements,4896000,,,,,,missing_recipient
earmark_000069,2022,Don Bacon,,,,Police Athletics for Community Engagement (PACE) Community Center,9205869,,,,,,missing_recipient
earmark_000070,2022,Don Bacon,,,,84th Street Pedestrian and Bicycle Safety Improvements,6915000,,,,,,missing_recipient
earmark_000071,2022,Troy Balderson,,,,City of Mansfield Division of Police Gun-shot Detection System,49500,,,,,,missing_recipient
earmark_000072,2022,Troy Balderson,,,,Morrow County Sheriff's Office Radio Communications System,287912,,,,,,missing_recipient
